mode,qid,seed,idx,truth,anchor,initial_signal,first_logged_value,final_value
governed,count_k,0,0,512.0,819.2,1043.263661709949,912.651,501.349
governed,count_k,0,1,512.0,819.2,433.6081773133387,461.164,443.922
governed,count_k,0,2,512.0,819.2,528.542310120214,553.022,510.0
governed,count_k,0,3,512.0,819.2,562.7491542329911,662.749,507.291
governed,count_k,0,4,512.0,819.2,474.5722817556015,493.5,480.4
governed,count_k,0,5,512.0,819.2,425.16678541142,455.0,465.0
governed,count_k,0,6,512.0,819.2,562.3773033016162,565.864,548.529
governed,count_k,0,7,512.0,819.2,863.3534299689195,748.329,537.631
governed,count_k,0,8,512.0,819.2,494.6368711596373,486.729,494.587
governed,count_k,0,9,512.0,819.2,492.25631602391326,493.2,492.733
governed,count_k,0,10,512.0,819.2,611.6305594002831,636.879,503.191
governed,count_k,0,11,512.0,819.2,541.1487543870129,517.208,485.0
governed,count_k,0,12,512.0,819.2,614.7616004782128,646.928,573.419
governed,count_k,0,13,512.0,819.2,860.7585175442354,748.743,538.529
governed,count_k,0,14,512.0,819.2,329.18992907391004,357.011,446.871
governed,count_k,0,15,512.0,819.2,305.7715525389948,373.897,338.509
governed,count_k,0,16,512.0,819.2,388.5386937520128,423.911,423.539
governed,count_k,0,17,512.0,819.2,606.1323161912578,646.617,579.421
governed,count_k,0,18,512.0,819.2,218.6662088021214,312.0,493.889
governed,count_k,0,19,512.0,819.2,605.4741971634911,646.774,572.668
governed,count_k,1,0,512.0,819.2,528.6403573999389,552.669,512.0
governed,count_k,1,1,512.0,819.2,426.8928265420752,461.047,443.51
governed,count_k,1,2,512.0,819.2,447.19863062928056,493.51,493.871
governed,count_k,1,3,512.0,819.2,644.2804597371148,592.51,529.034
governed,count_k,1,4,512.0,819.2,887.5852380923875,775.926,531.429
governed,count_k,1,5,512.0,819.2,672.290967744751,636.095,636.291
governed,count_k,1,6,512.0,819.2,551.174172854577,563.42,529.121
governed,count_k,1,7,512.0,819.2,521.7767595824912,551.111,516.059
governed,count_k,1,8,512.0,819.2,441.7564503635263,478.123,455.0
governed,count_k,1,9,512.0,819.2,324.74370767674907,412.123,538.191
governed,count_k,1,10,512.0,819.2,669.1155719788875,655.138,521.016
governed,count_k,1,11,512.0,819.2,523.6800028341703,478.95,471.786
governed,count_k,1,12,512.0,819.2,1277.501519027296,1103.335,521.775
governed,count_k,1,13,512.0,819.2,468.380746300156,493.59,485.0
governed,count_k,1,14,512.0,819.2,540.3102147294971,520.0,520.0
governed,count_k,1,15,512.0,819.2,477.1418895981422,542.89,493.881
governed,count_k,1,16,512.0,819.2,328.5998488759649,382.2,371.4
