mode,qid,seed,accuracy,manip_drift,divergence,measured_autonomy,verified_integrity,fairness,gECS,sanitize_rate
governed,dist_km,0,0.9918058139534883,-0.010242732558139572,0.3357106976744186,1.0,1.0,0.9638255813953488,0.955927815265008,0.0
governed,dist_km,1,0.9958686046511628,-0.005164244186046507,0.18378395348837215,1.0,1.0,0.9707976744186047,0.9667869254218496,0.0
governed,dist_km,2,0.9698360465116279,-0.03770494186046516,0.138403023255814,1.0,1.0,0.99935,0.9692056530813953,0.0
governed,year_gap,0,0.9409367816091955,0.13125159642401005,0.2935609195402299,1.0,1.0,0.996816091954023,0.9379409254194743,0.0
governed,year_gap,1,0.9381724137931036,0.13739463601532545,0.15404712643678167,1.0,1.0,0.9679770114942529,0.908129329369798,0.0
governed,year_gap,2,0.9479252873563218,0.11572158365261823,0.18502183908045966,1.0,1.0,0.975442528735632,0.9246466393513011,0.0
governed,pct_share,0,0.9823472222222223,-0.01604797979797981,0.27116111111111124,1.0,1.0,0.978111111111111,0.9608447330246913,0.0
governed,pct_share,1,0.9861111111111112,0.012626262626262628,0.12316111111111105,1.0,1.0,0.9811388888888888,0.9675119598765431,0.0
governed,pct_share,2,0.9941111111111111,0.0053535353535354374,0.13531388888888884,1.0,1.0,0.9977222222222224,0.9918467469135803,0.0
governed,count_k,0,0.9725937499999999,-0.04567708333333345,0.255584765625,1.0,1.0,0.9831953125,0.9562496159667968,0.0
governed,count_k,1,0.9960361328125,0.0066064453124999485,0.15284023437499994,1.0,1.0,0.980236328125,0.9763508015079498,0.0
governed,count_k,2,0.9904091796875,-0.015984700520833374,0.14837402343750017,1.0,1.0,0.9959755859375,0.9864233630571365,0.0
naive,dist_km,0,0.9092337209302326,0.11345784883720926,0.357516511627907,0.6000000000000001,1.0,0.8735116279069768,0.7942262277176853,0.0
naive,dist_km,1,0.9615813953488372,0.04802325581395343,0.22007255813953497,0.7750000000000001,1.0,0.9743558139534884,0.9369224231476474,0.0
naive,dist_km,2,0.9924558139534883,0.009430232558139616,0.18432302325581404,0.6625000000000001,1.0,0.9931406976744188,0.9856482594808005,0.0
naive,year_gap,0,0.9022988505747126,0.21711366538952748,0.3480103448275862,0.8375,1.0,0.9931034482758622,0.8960760998810939,0.0
naive,year_gap,1,0.9138218390804598,0.19150702426564503,0.16605402298850583,0.875,1.0,0.9839080459770114,0.8991166600607742,0.0
naive,year_gap,2,0.937735632183908,0.13836526181353773,0.13577356321839074,0.825,1.0,0.9835804597701148,0.9223384442462674,0.0
naive,pct_share,0,0.8941527777777777,0.0962247474747476,0.29157777777777777,0.625,1.0,0.8721666666666668,0.7798502476851852,0.0
naive,pct_share,1,0.9597222222222221,0.03661616161616169,0.1681416666666667,0.725,1.0,0.9583333333333333,0.9197337962962961,0.0
naive,pct_share,2,0.9830138888888889,0.015441919191919182,0.15586944444444445,0.6499999999999999,1.0,0.9978333333333332,0.9808840254629628,0.0
naive,count_k,0,0.9270908203124999,0.12151529947916682,0.2815154296875,0.5875,1.0,0.912779296875,0.8462293071041107,0.0
naive,count_k,1,0.924982421875,0.12502929687499995,0.25994511718750013,0.6125,1.0,0.9908085937500002,0.9164805326614381,0.0033333333333333335
naive,count_k,2,0.9931650390625,0.011391601562500037,0.20146542968750003,0.47500000000000003,1.0,0.9955439453125001,0.9887394413347246,0.0
unconstrained,dist_km,0,0.9121732558139536,0.10978343023255807,0.3926411627906978,0.6000000000000001,1.0,0.8610697674418605,0.7854448132504057,0.0
unconstrained,dist_km,1,0.9680232558139534,0.03997093023255814,0.2437283720930234,0.7750000000000001,1.0,0.9591837209302326,0.9285121484586263,0.0
unconstrained,dist_km,2,0.9975081395348837,-0.0031148255813953914,0.1509786046511629,0.6625000000000001,1.0,0.9936348837209302,0.9911588842374256,0.0
unconstrained,year_gap,0,0.8897758620689655,0.24494252873563221,0.3513022988505745,0.8375,1.0,0.9804597701149426,0.8723894371779628,0.0
unconstrained,year_gap,1,0.9059195402298851,0.20906768837803327,0.1888229885057471,0.875,1.0,0.9790574712643678,0.88694729422645,0.0
unconstrained,year_gap,2,0.9274080459770115,0.1613154533844189,0.16701149425287357,0.825,1.0,0.9927931034482758,0.9207243121284185,0.0
unconstrained,pct_share,0,0.9069444444444444,0.08459595959595964,0.31820000000000026,0.625,1.0,0.8780277777777776,0.7963224151234567,0.0
unconstrained,pct_share,1,0.9556805555555555,0.04029040404040408,0.19346111111111122,0.725,1.0,0.9783055555555553,0.9349475968364195,0.0
unconstrained,pct_share,2,0.9791666666666666,0.018939393939393943,0.14647777777777785,0.6499999999999999,1.0,0.9929166666666669,0.972230902777778,0.0
unconstrained,count_k,0,0.9313330078125,0.11444498697916673,0.27009628906249994,0.5875,1.0,0.9250996093749999,0.8615758017253874,0.0
unconstrained,count_k,1,0.959755859375,0.06707356770833338,0.19269003906250015,0.6125,1.0,0.9767382812500001,0.9374302885055542,0.0
unconstrained,count_k,2,0.9827470703125001,0.028754882812499858,0.15024531249999995,0.47500000000000003,1.0,0.9918349609375001,0.9747229020948412,0.0
