informed_frac,mode,qid,seed,accuracy,manip_drift
0.1,governed,dist_km,0,0.9915162790697674,-0.010604651162790768
0.1,governed,dist_km,1,0.9919511627906976,0.010061046511627944
0.1,governed,dist_km,2,0.9946918604651163,0.0066351744186047305
0.1,governed,year_gap,0,0.9060344827586205,0.20881226053639876
0.1,governed,year_gap,1,0.9338965517241379,0.14689655172413807
0.1,governed,year_gap,2,0.9895344827586207,0.023256704980842886
0.1,governed,pct_share,0,0.974388888888889,0.02328282828282821
0.1,governed,pct_share,1,0.9804583333333334,0.017765151515151473
0.1,governed,pct_share,2,0.9701666666666667,0.027121212121212077
0.1,governed,count_k,0,0.960779296875,-0.06536783854166671
0.1,governed,count_k,1,0.9284062500000001,0.11932291666666649
0.1,governed,count_k,2,0.9775390625,0.03743489583333333
0.1,unconstrained,dist_km,0,0.8147732558139534,0.23153343023255823
0.1,unconstrained,dist_km,1,0.8455872093023256,0.19301598837209313
0.1,unconstrained,dist_km,2,0.8790697674418605,0.1511627906976744
0.1,unconstrained,year_gap,0,0.8036091954022988,0.43642401021711363
0.1,unconstrained,year_gap,1,0.8401896551724138,0.3551340996168581
0.1,unconstrained,year_gap,2,0.8968103448275863,0.229310344827586
0.1,unconstrained,pct_share,0,0.7319305555555555,0.243699494949495
0.1,unconstrained,pct_share,1,0.8099722222222224,0.17275252525252513
0.1,unconstrained,pct_share,2,0.8797777777777777,0.10929292929292939
0.1,unconstrained,count_k,0,0.8477167968749999,0.2538053385416668
0.1,unconstrained,count_k,1,0.8655234374999998,0.2241276041666669
0.1,unconstrained,count_k,2,0.8748066406250001,0.20865559895833308
0.25,governed,dist_km,0,0.9991279069767441,-0.0010901162790697674
0.25,governed,dist_km,1,0.987906976744186,0.015116279069767409
0.25,governed,dist_km,2,0.9969081395348838,0.003864825581395337
0.25,governed,year_gap,0,0.9348448275862069,0.1447892720306512
0.25,governed,year_gap,1,0.968764367816092,0.06941251596424014
0.25,governed,year_gap,2,0.9906666666666667,0.02074074074074068
0.25,governed,pct_share,0,0.9856805555555554,0.013017676767676845
0.25,governed,pct_share,1,0.9763888888888891,0.021464646464646325
0.25,governed,pct_share,2,0.9777638888888889,0.020214646464646456
0.25,governed,count_k,0,0.965021484375,-0.05829752604166663
0.25,governed,count_k,1,0.9869365234375,-0.02177246093749992
0.25,governed,count_k,2,0.9716796875,0.04720052083333333
0.25,unconstrained,dist_km,0,0.8726244186046511,0.15921947674418604
0.25,unconstrained,dist_km,1,0.9145174418604651,0.10685319767441859
0.25,unconstrained,dist_km,2,0.9304651162790698,0.08691860465116273
0.25,unconstrained,year_gap,0,0.8490229885057472,0.3355044699872284
0.25,unconstrained,year_gap,1,0.9010632183908046,0.21985951468710094
