mode,qid,seed,relative_absolute_error,closer_to_anchor,movement_from_t0
governed,count_k,0,0.083976171875,0.0,-0.19623990885416664
governed,count_k,1,0.06440185546875,0.0,-0.25263444010416664
governed,count_k,2,0.06500029296875001,0.0,-0.14428320312499998
governed,dist_km,0,0.09802034883720931,0.0,-0.19513590116279073
governed,dist_km,1,0.0740870930232558,0.0,-0.23554418604651164
governed,dist_km,2,0.07034441860465115,0.0,-0.16061511627906974
governed,pct_share,0,0.08162916666666667,0.0,-0.12197222222222223
governed,pct_share,1,0.06048750000000001,0.0,-0.1345656565656566
governed,pct_share,2,0.05484583333333334,0.0,-0.07639646464646463
governed,year_gap,0,0.11674712643678162,0.1,0.4019106002554279
governed,year_gap,1,0.09762816091954021,0.05,0.48979438058748404
governed,year_gap,2,0.08409310344827586,0.05,0.29605236270753515
naive,count_k,0,0.10973017578125,0.0,-0.11784879557291664
naive,count_k,1,0.10465917968750002,0.0,-0.14476562499999995
naive,count_k,2,0.07611259765625,0.0,-0.11015820312499995
naive,dist_km,0,0.1499032558139535,0.0,-0.10505319767441865
naive,dist_km,1,0.09877186046511627,0.0,-0.1955341569767442
naive,dist_km,2,0.07524790697674419,0.0,-0.10613706395348836
naive,pct_share,0,0.1321375,0.0,-0.03969318181818181
naive,pct_share,1,0.07039722222222221,0.0,-0.09849494949494954
naive,pct_share,2,0.06223472222222222,0.0,-0.04817550505050506
naive,year_gap,0,0.14257356321839082,0.1,0.444992337164751
naive,year_gap,1,0.11218045977011495,0.05,0.5103243933588761
naive,year_gap,2,0.08401609195402297,0.05,0.30699872286079183
unconstrained,count_k,0,0.10419160156250003,0.0,-0.12762841796874996
unconstrained,count_k,1,0.08475185546875,0.0,-0.19197363281249996
unconstrained,count_k,2,0.0730826171875,0.0,-0.09463655598958334
unconstrained,dist_km,0,0.15807337209302325,0.0,-0.10238343023255814
unconstrained,dist_km,1,0.09789313953488372,0.0,-0.19458633720930232
unconstrained,dist_km,2,0.07609232558139535,0.0,-0.12225334302325581
unconstrained,pct_share,0,0.1368,0.0,-0.0409520202020202
unconstrained,pct_share,1,0.07640833333333333,0.0,-0.09854671717171719
unconstrained,pct_share,2,0.06374305555555557,0.0,-0.04690656565656568
unconstrained,year_gap,0,0.1451793103448276,0.15,0.47144189016602817
unconstrained,year_gap,1,0.12087183908045976,0.05,0.5404406130268199
unconstrained,year_gap,2,0.08871666666666667,0.05,0.3154572158365262
