t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,535.115,557.1088,0.954853515625,0.911896875,0.07524414062500002,0.14683854166666657,0.7346914062500001,0.792228515625,1.0,1.0,0.7564621833229065
1,537.281,553.34485,0.9506230468750001,0.9192483398437501,0.08229492187499982,0.13458610026041648,0.6412898437500001,0.7880625000000001,1.0,1.0,0.7491503748779299
2,534.836,548.9774500000001,0.9553984375,0.9277784179687498,0.07433593750000003,0.12036930338541695,0.52761328125,0.8098007812500001,1.0,1.0,0.7736824010925294
3,534.4645,537.6527,0.9561240234374999,0.9498970703125,0.0731266276041668,0.08350488281249993,0.4266662109374999,0.8297050781249999,1.0,1.0,0.7933009575634001
4,528.5955,530.01215,0.9675869140625,0.96482001953125,0.05402180989583338,0.05863330078125006,0.3737054687499999,0.86135546875,1.0,1.0,0.8334362799186706
5,522.0295,523.19905,0.9804111328125,0.9781268554687499,0.03264811197916661,0.036455240885416844,0.3058099609375,0.8949179687499998,1.0,1.0,0.8773875395164489
6,518.8845,514.27255,0.9865537109375,0.99556142578125,0.022410481770833338,0.007397623697916743,0.28908398437500005,0.920595703125,1.0,1.0,0.9082171071910858
7,516.8845,508.5286000000001,0.9904599609375,0.9932199218750002,0.015900065104166673,-0.011300130208333016,0.26679062500000006,0.9509511718749999,1.0,1.0,0.9418790605487822
8,516.8275,506.0377,0.9905712890625,0.9883548828125,0.01571451822916662,-0.01940852864583342,0.27527753906249985,0.97972265625,1.0,1.0,0.970485134525299
9,513.7239999999999,501.8424,0.9966328125000001,0.9801609375,0.005611979166666447,-0.03306510416666667,0.23519492187500024,0.9989160156250001,1.0,1.0,0.9955524781036379
10,503.6015,501.4462,0.9835966796875,0.979387109375,-0.02733886718750004,-0.03435481770833341,0.2554025390625,0.9795351562500001,1.0,1.0,0.9634675273246766
11,498.481,499.19605,0.973595703125,0.97499228515625,-0.044007161458333346,-0.04167952473958328,0.2546382812500002,0.97616796875,1.0,1.0,0.9503929399032592
12,499.056,497.97650000000004,0.97471875,0.9726103515625001,-0.04213541666666672,-0.04564941406249985,0.25658183593750006,0.98435546875,1.0,1.0,0.959469732055664
13,499.1855,498.27239999999995,0.9749716796875,0.9731882812499999,-0.041713867187500024,-0.04468619791666683,0.2505273437500001,0.977166015625,1.0,1.0,0.9527091915874482
14,497.96799999999996,496.8239,0.9725937499999999,0.9703591796875,-0.04567708333333345,-0.04940136718750006,0.255584765625,0.9831953125,1.0,1.0,0.9562496159667968
