t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,39.0,40.99735,0.9166666666666666,0.8611847222222223,0.07575757575757577,0.126195707070707,0.562861111111111,0.9233055555555555,1.0,1.0,0.8463634259259258
1,38.6,40.1469,0.9277777777777777,0.8848083333333333,0.0656565656565657,0.10471969696969705,0.42286666666666684,0.9361111111111112,1.0,1.0,0.8685030864197532
2,38.45,39.54385,0.9319444444444444,0.9015597222222222,0.06186868686868695,0.08949116161616161,0.3335,0.9972222222222222,1.0,1.0,0.9293557098765431
3,38.25,39.0663,0.9375,0.914825,0.05681818181818182,0.07743181818181814,0.2622472222222224,0.9861111111111112,1.0,1.0,0.9244791666666667
4,38.1,38.42295,0.9416666666666667,0.9326958333333333,0.05303030303030307,0.06118560606060607,0.2683194444444445,0.9944444444444444,1.0,1.0,0.9364351851851851
5,37.582,37.641799999999996,0.9560555555555555,0.9543944444444445,0.03994949494949497,0.04145959595959588,0.2645527777777777,0.9919166666666666,1.0,1.0,0.9483274398148147
6,37.332,37.3255,0.963,0.9631805555555556,0.03363636363636366,0.03347222222222218,0.2114833333333335,0.9705555555555557,1.0,1.0,0.9346450000000002
7,37.384,36.89195,0.9615555555555555,0.9752236111111111,0.034949494949494966,0.022523989898989936,0.20885277777777786,0.9808611111111111,1.0,1.0,0.9431524506172838
8,37.0015,36.660799999999995,0.9721805555555556,0.9816444444444445,0.025290404040404047,0.016686868686868556,0.1873833333333334,0.9833333333333333,1.0,1.0,0.9559775462962963
9,36.925,36.211149999999996,0.9743055555555556,0.9941347222222223,0.02335858585858579,0.005332070707070617,0.1809472222222222,0.9723333333333333,1.0,1.0,0.9473497685185186
10,36.771,36.116299999999995,0.9785833333333334,0.9967694444444446,0.01946969696969699,0.002936868686868571,0.1379500000000002,0.9890555555555554,1.0,1.0,0.9678732824074072
11,36.4815,35.8089,0.9866250000000001,0.9946916666666668,0.012159090909090833,-0.004825757575757544,0.13683333333333358,0.9871388888888888,1.0,1.0,0.97393590625
12,36.576,35.7953,0.984,0.9943138888888888,0.014545454545454561,-0.005169191919191984,0.12242499999999998,0.9945277777777777,1.0,1.0,0.9786153333333332
13,36.3835,35.700849999999996,0.9893472222222223,0.9916902777777776,0.009684343434343384,-0.007554292929293043,0.12952222222222215,0.9966111111111111,1.0,1.0,0.9859944344135803
14,36.5,35.668549999999996,0.9861111111111112,0.9907930555555554,0.012626262626262628,-0.008369949494949592,0.12316111111111105,0.9811388888888888,1.0,1.0,0.9675119598765431
