t,idx,autonomy,basis,magnitude,reason
3,0,1.0,evidential,0.0,evidence
3,1,0.6,social,0.0362,social
3,2,0.6,social,0.0498,social
3,4,0.6,social,0.0266,social
3,5,0.6,social,0.0248,social
3,6,1.0,evidential,0.0238,evidence
3,7,0.6,social,0.1011,narrative
3,8,0.6,social,0.0156,social
6,0,0.2,pressure,0.1117,narrative
6,1,0.6,social,0.0273,social
6,2,0.6,social,0.0493,social
6,4,0.6,social,0.0206,social
6,5,0.6,social,0.0323,social
6,6,1.0,evidential,0.0223,evidence
6,7,0.2,pressure,0.0845,narrative
6,8,1.0,evidential,0.0,evidence
9,0,0.2,pressure,0.1191,narrative
9,1,0.6,social,0.0307,social
9,2,0.2,pressure,0.0453,narrative
9,4,0.6,social,0.0332,social
9,5,0.6,social,0.0195,social
9,6,1.0,evidential,0.0317,evidence
9,7,0.2,pressure,0.0995,narrative
9,8,0.6,social,0.0061,social
12,0,0.2,pressure,0.097,narrative
12,1,0.6,social,0.0293,social
12,2,0.6,social,0.0374,social
12,4,0.6,social,0.0145,social
12,5,0.6,social,0.0343,social
12,6,1.0,evidential,0.0278,evidence
12,7,0.2,pressure,0.08,narrative
12,8,0.6,social,0.0039,social
