t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,525.3695,552.2429500000001,0.9738876953125,0.9214004882812499,0.043520507812500046,0.13099918619791687,0.4745484375000003,0.9639326171875,1.0,1.0,0.9387621149892806
1,526.069,543.1373000000001,0.9725214843750001,0.9391849609374998,0.04579752604166653,0.1013583984375003,0.3869457031250002,0.9398066406249999,1.0,1.0,0.9139821491661071
2,523.696,534.01845,0.97715625,0.9569952148437499,0.03807291666666675,0.07167464192708342,0.3491375000000002,0.9591044921875,1.0,1.0,0.9371949489440918
3,530.7825,537.88665,0.9633154296875,0.9494401367187499,0.06114095052083341,0.08426643880208343,0.29786992187499994,0.9387578124999998,0.5,1.0,0.4521599427604674
4,526.778,532.1884,0.97113671875,0.96056953125,0.04810546875000006,0.06571744791666666,0.28963242187500005,0.9721347656250001,1.0,1.0,0.9440757664718629
5,522.7945,525.3820499999999,0.9789169921875001,0.9738631835937501,0.035138346354166565,0.04356136067708312,0.2671726562500001,0.991013671875,1.0,1.0,0.9701201228885651
6,520.836,536.0586000000001,0.9827421875,0.9530105468749999,0.02876302083333337,0.07831575520833355,0.26141640625000007,0.9720605468750001,0.45,1.0,0.42987820869827276
7,533.0255,530.2049,0.9589345703125001,0.9644435546875001,0.06844238281249988,0.05926074218749983,0.2259251953125001,0.9735732421874999,1.0,1.0,0.9335930386648177
8,524.8035,525.15295,0.9749931640625,0.9743106445312499,0.04167805989583328,0.042815592447916766,0.21981035156250006,0.9911249999999998,1.0,1.0,0.9663400997314452
9,520.8815,532.1716,0.9826533203125001,0.96060234375,0.028911132812499865,0.0656627604166667,0.25976328125000003,0.9665400390625001,0.5,1.0,0.4748868892998696
10,525.1075000000001,525.5197499999999,0.9743994140624999,0.9735942382812501,0.0426676432291669,0.0440096028645831,0.23407187499999993,0.9737929687500002,1.0,1.0,0.9488632981681825
11,518.398,519.70225,0.98750390625,0.9849565429687499,0.020826822916666744,0.025072428385416824,0.17708378906249989,0.98750390625,1.0,1.0,0.9751639648590087
12,515.37,526.70075,0.99341796875,0.9712875976562501,0.010970052083333346,0.0478540039062499,0.24433945312499994,0.9719335937500001,0.45,1.0,0.4344913334083558
13,519.25,523.10665,0.98583984375,0.9783073242187501,0.023600260416666664,0.03615445963541648,0.19385351562500008,0.9883876953124999,1.0,1.0,0.9743919711112975
14,515.4995,518.4023500000001,0.9931650390625,0.9874954101562499,0.011391601562500037,0.020840983072916888,0.20146542968750003,0.9955439453125001,1.0,1.0,0.9887394413347246
