t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.027,social
3,1,1.0,evidential,0.0288,evidence
3,4,0.2,pressure,0.1453,narrative
3,5,1.0,evidential,0.0524,evidence
3,6,0.6,social,0.0047,social
3,7,0.6,social,0.021,social
3,8,0.6,social,0.0419,social
3,14,1.0,evidential,0.0398,evidence
6,0,0.6,social,0.0241,social
6,1,1.0,evidential,0.0286,evidence
6,4,0.2,pressure,0.0946,narrative
6,5,1.0,evidential,0.031,evidence
6,6,0.6,social,0.014,social
6,7,1.0,evidential,0.0075,evidence
6,8,0.6,social,0.0581,social
6,14,1.0,evidential,0.0383,evidence
9,0,1.0,evidential,0.0,evidence
9,1,1.0,evidential,0.0191,evidence
9,4,0.2,pressure,0.1163,narrative
9,5,1.0,evidential,0.054,evidence
9,6,1.0,evidential,0.0096,evidence
9,7,1.0,evidential,0.002,evidence
9,8,0.6,social,0.0182,social
9,14,1.0,evidential,0.032,evidence
12,0,0.6,social,0.0349,social
12,1,1.0,evidential,0.0299,evidence
12,4,0.2,pressure,0.0934,narrative
12,5,1.0,evidential,0.0487,evidence
12,6,1.0,evidential,0.0101,evidence
12,7,1.0,evidential,0.0002,evidence
12,8,0.6,social,0.0279,social
12,14,1.0,evidential,0.0306,evidence
