t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,445.8945,474.16345,0.9630360465116279,0.8972943023255814,0.046204941860465094,0.1283821220930233,0.5455413953488374,0.9615104651162791,1.0,1.0,0.925969237005138
1,446.3945,463.41880000000003,0.9618732558139536,0.9222818604651162,0.04765843023255812,0.09714767441860475,0.48612325581395377,0.9334755813953488,1.0,1.0,0.8978851966995673
2,442.6445,459.33669999999995,0.9705941860465116,0.9317751162790698,0.03675726744186045,0.08528110465116265,0.4165476744186049,0.9654523255813954,1.0,1.0,0.9370624141143862
3,449.5,460.80435,0.9546511627906977,0.9283619767441861,0.056686046511627904,0.08954752906976744,0.40474790697674434,0.956639534883721,0.55,1.0,0.5022913743915631
4,449.0,455.61825,0.9558139534883721,0.9404226744186047,0.055232558139534885,0.07447165697674415,0.3688248837209302,0.9854651162790697,1.0,1.0,0.9419213088155759
5,444.25,448.66645,0.9668604651162791,0.9565896511627907,0.04142441860465116,0.05426293604651162,0.29505953488372083,0.997093023255814,1.0,1.0,0.9640498242293132
6,443.0,452.2557500000001,0.9697674418604652,0.9482424418604649,0.0377906976744186,0.06469694767441887,0.32484162790697657,0.9873255813953489,0.7,1.0,0.6702333423472148
7,440.75,446.3867,0.975,0.9618913953488372,0.03125,0.047635755813953545,0.2606579069767442,0.9887046511627907,1.0,1.0,0.963987034883721
8,437.0,442.46705000000003,0.9837209302325581,0.9710068604651162,0.020348837209302327,0.036241424418604735,0.2159302325581396,0.9879093023255816,1.0,1.0,0.9718270578691186
9,438.17949999999996,447.26115,0.9809779069767443,0.9598577906976744,0.023777616279069658,0.050177761627906936,0.3294211627906975,0.9854046511627906,0.7,1.0,0.6766621345559761
10,433.9435,442.3075,0.9908290697674419,0.9713779069767442,0.011463662790697592,0.03577761627906978,0.26409883720930233,0.9942418604651163,1.0,1.0,0.9851237377285019
11,432.85,439.3546000000001,0.9933720930232558,0.9782451162790695,0.008284883720930298,0.027193604651163137,0.20782558139534885,0.9902593023255813,1.0,1.0,0.9836959557869118
12,437.401,443.34704999999997,0.9827883720930233,0.9689603488372094,0.02151453488372096,0.03879956395348828,0.28061209302325596,0.9849988372093023,0.7,1.0,0.6776317826141156
13,436.5955,440.64545,0.9846616279069768,0.9752431395348837,0.019172965116279115,0.030946075581395296,0.2368206976744187,0.9941465116279071,1.0,1.0,0.9788979225175772
14,433.244,437.6523,0.9924558139534883,0.9822039534883721,0.009430232558139616,0.022245058139534958,0.18432302325581404,0.9931406976744188,1.0,1.0,0.9856482594808005
