t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,39.0,40.9231,0.9166666666666666,0.8632472222222223,0.07575757575757577,0.12432070707070704,0.5658527777777778,0.9233055555555555,1.0,1.0,0.8463634259259258
1,38.6,39.9763,0.9277777777777777,0.8895472222222222,0.0656565656565657,0.10041161616161623,0.42511388888888885,0.9388888888888889,1.0,1.0,0.8710802469135802
2,38.4585,39.5121,0.9317083333333334,0.9024416666666668,0.062083333333333365,0.08868939393939387,0.32770555555555564,0.9976944444444446,1.0,1.0,0.9295602280092594
3,38.95,39.861399999999996,0.9180555555555555,0.892738888888889,0.07449494949494957,0.09751010101010092,0.32285000000000036,0.975,0.7,1.0,0.6265729166666666
4,39.0,39.4046,0.9166666666666666,0.9054277777777777,0.07575757575757577,0.08597474747474754,0.32135277777777776,0.9666666666666666,1.0,1.0,0.886111111111111
5,38.6,38.8888,0.9277777777777777,0.9197555555555554,0.0656565656565657,0.07294949494949504,0.27905277777777787,0.9722222222222222,1.0,1.0,0.9020061728395061
6,38.507000000000005,39.03655,0.930361111111111,0.915651388888889,0.06330808080808094,0.07668055555555553,0.3017194444444442,0.9358055555555556,0.7,1.0,0.609445967515432
7,38.55,38.7801,0.9291666666666667,0.9227750000000001,0.06439393939393934,0.0702045454545454,0.26694166666666674,0.9544166666666667,1.0,1.0,0.8868121527777778
8,38.3885,38.1123,0.9336527777777778,0.9413250000000001,0.060315656565656586,0.053340909090909036,0.24808333333333327,0.9455555555555555,1.0,1.0,0.8828205709876542
9,38.545500000000004,38.34055,0.9292916666666665,0.9349847222222222,0.06428030303030315,0.059104797979798,0.1770083333333334,0.9305555555555555,0.75,1.0,0.6485681423611109
10,38.25,38.056,0.9375,0.942888888888889,0.05681818181818182,0.05191919191919186,0.17751388888888917,0.9277777777777777,1.0,1.0,0.8697916666666666
11,38.024,37.50045,0.9437777777777777,0.9583208333333333,0.05111111111111114,0.037890151515151536,0.1819416666666667,0.9583333333333334,1.0,1.0,0.9044537037037037
12,38.125,37.707499999999996,0.9409722222222222,0.9525694444444446,0.05366161616161617,0.04311868686868677,0.1628305555555555,0.9244166666666667,0.75,1.0,0.6523878038194444
13,37.775,37.49145,0.9506944444444445,0.9585708333333334,0.04482323232323229,0.0376628787878788,0.18725,0.9613888888888888,1.0,1.0,0.913987075617284
14,37.45,37.0227,0.9597222222222221,0.9715916666666666,0.03661616161616169,0.02582575757575759,0.1681416666666667,0.9583333333333333,1.0,1.0,0.9197337962962961
