idx,degree,resistance,signal,value,informed,rationale,last_reason
0,9,0.2999890583113435,38.13376053118023,38.5,True,Aligning with measurement,evidence
1,3,0.34324798073284046,59.49447314698246,38.5,False,Neighbours' consensus,social
2,2,0.09365646851978549,44.67209253318109,38.5,False,Neighbours' consensus,social
3,7,0.5468324970085986,31.137329065939994,33.0,True,Adjusted towards measurement,evidence
4,9,0.1347877297766164,36.00016867822918,36.7,False,Neighbours' consensus,social
5,9,0.2489903161212555,39.12395081557841,38.9,True,Adjusted towards reliable measurement,evidence
6,7,0.4103457700589651,34.194192785317966,36.5,True,Neighbours' consensus,social
7,7,0.2005654296071322,49.32308283383943,40.3,False,Neighbours' consensus,social
8,4,0.2230457337365193,25.23979782971272,28.335,True,Adjusted towards measurement,evidence
9,3,0.24091908620877805,45.97162367604749,42.421,True,Balancing own data,evidence
10,6,0.4161744853455709,61.36147602270857,42.429,False,Adjusted towards neighbours,social
11,5,0.6250649615377949,34.06649853010264,35.112,True,Adjusting towards reliable measurement,evidence
12,5,0.3549847271598084,46.563968671033834,36.623,False,Neighbours' mean,social
13,5,0.21584894658637796,36.27631060916077,36.45,True,Adjusted towards measurement,evidence
14,4,0.41468699846969465,21.672542205824623,36.6,False,Neighbours' mean,social
15,4,0.2784608360232239,36.50521085803199,37.2,True,Adjusting towards reliable measurement,evidence
16,3,0.3477043404174618,53.28632251959601,36.567,False,Neighbours' mean,social
17,3,0.49100014634003486,33.80490709911158,36.0,True,Adjusted towards reliable measurement,evidence
18,4,0.2602554860847365,29.50843236919499,36.3,False,Neighbours' mean,social
19,3,0.351083030116799,34.71314521719201,35.234,False,Neighbours' consensus,social
