t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0306,social
3,3,0.6,social,0.0359,social
3,4,0.6,social,0.0833,social
3,5,1.0,evidential,0.0025,evidence
3,6,0.6,social,0.0248,social
3,7,0.6,social,0.0796,social
3,10,0.6,social,0.0833,social
3,11,0.6,social,0.0143,social
6,0,0.6,social,0.0255,social
6,3,0.6,social,0.0389,social
6,4,0.6,social,0.0694,social
6,5,1.0,evidential,0.0177,evidence
6,6,0.6,social,0.0211,social
6,7,0.6,social,0.0528,social
6,10,0.6,social,0.1111,social
6,11,0.6,social,0.025,social
9,0,0.6,social,0.0401,social
9,3,0.6,social,0.0378,social
9,4,0.6,social,0.0144,social
9,5,1.0,evidential,0.0114,evidence
9,6,0.6,social,0.0141,social
9,7,0.6,social,0.0637,social
9,10,0.6,social,0.1574,narrative
9,11,0.6,social,0.0194,social
12,0,0.6,social,0.0138,social
12,3,0.6,social,0.0333,social
12,4,0.6,social,0.0165,social
12,5,1.0,evidential,0.0167,evidence
12,6,0.6,social,0.02,social
12,7,0.6,social,0.0588,social
12,10,0.6,social,0.1111,social
12,11,0.6,social,0.0213,social
