t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,90.7565,96.31784999999999,0.9568218390804597,0.892898275862069,-0.09595146871008947,-0.23800383141762435,0.9000206896551726,0.7298850574712643,1.0,1.0,0.6983699630070022
1,91.29599999999999,94.28395,0.9506206896551725,0.9162764367816092,-0.10973180076628333,-0.18605236270753525,0.7488264367816093,0.7526206896551724,1.0,1.0,0.7154567990487516
2,90.868,91.81415000000001,0.9555402298850575,0.9446649425287355,-0.0987994891443166,-0.1229667943805878,0.5692896551724139,0.7752873563218392,1.0,1.0,0.7408182586867487
3,85.905,88.55205000000001,0.9874137931034483,0.9821603448275861,0.027969348659003804,-0.03964367816091976,0.45974022988505764,0.8445057471264368,0.8500000000000001,1.0,0.70879512960761
4,85.692,86.82525000000001,0.9849655172413793,0.997991379310345,0.033409961685823934,0.004463601532566765,0.4213000000000001,0.9174827586206898,1.0,1.0,0.9036888799048753
5,85.7815,85.4632,0.9859942528735631,0.9823356321839081,0.031123882503193,0.039254150702426556,0.398119540229885,0.9629885057471265,1.0,1.0,0.9495011322499669
6,83.3045,83.17495000000001,0.9575229885057471,0.9560339080459771,0.09439335887611738,0.09770242656449528,0.4048183908045977,0.998551724137931,0.8500000000000001,1.0,0.8127157964130005
7,82.999,82.1904,0.9540114942528735,0.9447172413793103,0.10219667943805888,0.12285057471264377,0.38173793103448267,0.9564137931034483,1.0,1.0,0.9124297518826793
8,82.89150000000001,81.6269,0.9527758620689656,0.9382402298850575,0.10494252873563199,0.13724393358876102,0.36496896551724145,0.9832413793103448,1.0,1.0,0.9368086527942926
9,79.2705,79.8833,0.9111551724137931,0.9181988505747127,0.19743295019157092,0.18178033205619398,0.4103735632183908,0.9501609195402299,0.8,1.0,0.6925952291716211
10,79.71600000000001,79.79124999999999,0.9162758620689656,0.9171408045977011,0.18605363984674309,0.18413154533844214,0.37703793103448263,0.9809080459770115,1.0,1.0,0.8987823654379707
11,80.1035,79.81845000000001,0.9207298850574712,0.9174534482758622,0.17615581098339728,0.18343678160919508,0.3656252873563218,0.995574712643678,1.0,1.0,0.9166553907385386
12,78.73400000000001,78.6926,0.9049885057471265,0.9045126436781609,0.21113665389527436,0.21219412515964245,0.3881885057471265,0.9573678160919541,0.8500000000000001,1.0,0.7364458389351303
13,78.42150000000001,78.42495000000001,0.901396551724138,0.9014362068965518,0.21911877394635992,0.21903065134099592,0.34637126436781623,0.9992068965517241,1.0,1.0,0.9006816510107016
14,78.5,78.8964,0.9022988505747126,0.9068551724137931,0.21711366538952748,0.20698850574712646,0.3480103448275862,0.9931034482758622,1.0,1.0,0.8960760998810939
