t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0688,social
3,1,1.0,evidential,0.0349,evidence
3,4,0.6,social,0.1447,social
3,5,1.0,evidential,0.042,evidence
3,6,0.6,social,0.0169,social
3,7,1.0,evidential,0.0426,evidence
3,8,1.0,evidential,0.0478,evidence
3,14,1.0,evidential,0.0293,evidence
6,0,0.6,social,0.0333,social
6,1,1.0,evidential,0.0351,evidence
6,4,0.6,social,0.0554,social
6,5,1.0,evidential,0.0486,evidence
6,6,1.0,evidential,0.0081,evidence
6,7,0.6,social,0.0115,social
6,8,1.0,evidential,0.0481,evidence
6,14,1.0,evidential,0.016,evidence
9,0,0.6,social,0.0654,social
9,1,1.0,evidential,0.0521,evidence
9,4,0.6,social,0.1127,social
9,5,1.0,evidential,0.047,evidence
9,6,1.0,evidential,0.0104,evidence
9,7,1.0,evidential,0.0135,evidence
9,8,1.0,evidential,0.033,evidence
9,14,1.0,evidential,0.0115,evidence
12,0,0.6,social,0.0508,social
12,1,1.0,evidential,0.0402,evidence
12,4,0.6,social,0.0761,social
12,5,1.0,evidential,0.1092,evidence
12,6,1.0,evidential,0.0209,evidence
12,7,1.0,evidential,0.0169,evidence
12,8,1.0,evidential,0.0325,evidence
12,14,1.0,evidential,0.0231,evidence
