t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.0716,narrative
3,1,0.6,social,0.0509,social
3,4,0.2,pressure,0.083,narrative
3,5,1.0,evidential,0.0765,evidence
3,6,0.6,social,0.0314,social
3,7,0.6,social,0.026,social
3,8,0.6,social,0.0333,social
3,14,1.0,evidential,0.0781,evidence
6,0,0.6,social,0.0501,narrative
6,1,0.6,social,0.0325,social
6,4,0.2,pressure,0.108,narrative
6,5,1.0,evidential,0.0768,narrative
6,6,0.2,pressure,0.0318,narrative
6,7,0.6,social,0.0251,social
6,8,0.6,social,0.0323,social
6,14,1.0,evidential,0.0781,evidence
9,0,0.6,social,0.0276,social
9,1,0.6,social,0.0391,social
9,4,0.2,pressure,0.0864,narrative
9,5,1.0,evidential,0.0553,evidence
9,6,0.6,social,0.0323,social
9,7,0.6,social,0.0314,social
9,8,0.6,social,0.0459,social
9,14,1.0,evidential,0.0529,evidence
12,0,0.6,social,0.0573,narrative
12,1,0.6,social,0.0488,social
12,4,0.2,pressure,0.1224,narrative
12,5,1.0,evidential,0.0544,narrative
12,6,0.2,pressure,0.0273,evidence
12,7,0.6,social,0.0448,narrative
12,8,0.6,social,0.0469,social
12,14,1.0,evidential,0.0469,evidence
