t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,547.8340000000001,579.0444500000001,0.9300117187499999,0.8690538085937498,0.11664713541666684,0.2182436523437503,0.54739921875,0.9806874999999999,1.0,1.0,0.9120508674316404
1,556.14,567.1618500000001,0.9137890625,0.8922620117187499,0.14368489583333327,0.17956331380208354,0.435262109375,0.9852695312500002,1.0,1.0,0.9003285212707521
2,544.6324999999999,556.0045000000001,0.9362646484375001,0.9140537109374998,0.10622558593749978,0.14324381510416703,0.33509296875000005,0.9503066406249998,1.0,1.0,0.8897385127925872
3,565.7094999999999,562.0071999999999,0.8950986328125001,0.9023296875000002,0.17483561197916642,0.1627838541666663,0.39941562499999983,0.94533203125,0.6,1.0,0.5076992452354432
4,556.057,552.8907000000002,0.913951171875,0.9201353515624997,0.1434147135416667,0.1331077473958338,0.33640605468750007,0.9846015625,1.0,1.0,0.899877751876831
5,552.4449999999999,541.4889499999999,0.9210058593750001,0.9424043945312501,0.13165690104166644,0.09599267578124976,0.30511152343750025,0.9901757812499998,1.0,1.0,0.9119576963424683
6,555.7315000000001,546.9962499999999,0.9145869140624998,0.9316479492187502,0.14235514322916695,0.11392008463541638,0.3209972656250001,0.9511367187499999,0.6000000000000001,1.0,0.5219383178718566
7,550.255,539.8172000000001,0.925283203125,0.9456695312499999,0.12452799479166664,0.09055078125000021,0.2326365234375002,0.9421230468750001,1.0,1.0,0.8717306305503847
8,543.226,531.00105,0.93901171875,0.9628885742187501,0.10164713541666665,0.061852376302083206,0.22882402343750008,0.9349375,1.0,1.0,0.8779172687988281
9,553.065,537.9287499999999,0.9197949218749999,0.9493579101562502,0.1336751302083335,0.0844034830729164,0.19598027343750013,0.89845703125,0.6499999999999999,1.0,0.5371575396633146
10,550.867,531.96175,0.9240878906250001,0.9610122070312499,0.12652018229166653,0.06497965494791683,0.2086251953125,0.935462890625,1.0,1.0,0.8644499293556214
11,538.1410000000001,524.2999000000001,0.9489433593749999,0.9759767578124998,0.0850944010416669,0.04003873697916696,0.20357597656249993,0.945134765625,1.0,1.0,0.8968793595542907
12,548.048,531.6854500000001,0.92959375,0.9615518554687499,0.11734374999999998,0.06408024088541685,0.19782324218750003,0.9097832031249999,0.6000000000000001,1.0,0.5074372676879884
13,539.851,527.0055,0.945603515625,0.9706923828125,0.09066080729166665,0.048846028645833275,0.19959843750000017,0.9463242187500001,1.0,1.0,0.8948475081710816
14,532.605,520.07015,0.959755859375,0.98423798828125,0.06707356770833338,0.026270019531250036,0.19269003906250015,0.9767382812500001,1.0,1.0,0.9374302885055542
