t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0168,social
3,1,1.0,evidential,0.0199,evidence
3,4,0.2,pressure,0.1419,narrative
3,5,1.0,evidential,0.0302,evidence
3,6,0.6,social,0.0,social
3,7,0.6,social,0.0193,social
3,8,0.6,social,0.0218,evidence
3,14,1.0,evidential,0.0372,evidence
6,0,0.6,social,0.0,social
6,1,1.0,evidential,0.0311,evidence
6,4,0.2,pressure,0.0947,narrative
6,5,1.0,evidential,0.0256,evidence
6,6,0.6,social,0.014,social
6,7,1.0,evidential,0.0147,social
6,8,0.6,social,0.0419,social
6,14,1.0,evidential,0.0306,evidence
9,0,1.0,evidential,0.0233,social
9,1,1.0,evidential,0.0197,evidence
9,4,0.2,pressure,0.1043,narrative
9,5,1.0,evidential,0.0526,evidence
9,6,1.0,evidential,0.0116,evidence
9,7,1.0,evidential,0.0044,social
9,8,0.6,social,0.0277,social
9,14,1.0,evidential,0.0314,evidence
12,0,0.6,social,0.0186,social
12,1,1.0,evidential,0.0299,evidence
12,4,0.2,pressure,0.0977,narrative
12,5,1.0,evidential,0.0402,evidence
12,6,1.0,evidential,0.0256,evidence
12,7,1.0,evidential,0.0,evidence
12,8,0.6,social,0.0435,social
12,14,1.0,evidential,0.0371,evidence
