t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,448.3945,475.49264999999997,0.9572220930232558,0.8942031395348838,0.05347238372093022,0.13224607558139526,0.5461813953488374,0.9731383720930233,1.0,1.0,0.9315095493361277
1,446.8945,464.92665000000005,0.9607104651162791,0.9187752325581394,0.049111918604651146,0.10153095930232574,0.5001783720930234,0.9429686046511628,1.0,1.0,0.9059198067644674
2,442.8945,459.34490000000005,0.9700127906976744,0.9317560465116278,0.03748401162790696,0.08530494186046526,0.4230034883720933,0.9511999999999999,1.0,1.0,0.9226761665116279
3,454.0,461.2333,0.9441860465116279,0.9273644186046512,0.06976744186046512,0.090794476744186,0.3825883720930233,0.9529372093023256,0.55,1.0,0.49486250892374256
4,451.0,455.74039999999997,0.9511627906976744,0.9401386046511628,0.061046511627906974,0.07482674418604641,0.36619046511627895,0.9762662790697674,1.0,1.0,0.9285881584640345
5,447.655,450.20169999999996,0.9589418604651163,0.9530193023255815,0.05132267441860457,0.058725872093023136,0.2968581395348836,0.9901279069767444,1.0,1.0,0.9494750972147108
6,444.9095,451.74055,0.9653267441860466,0.9494405813953488,0.0433415697674418,0.06319927325581391,0.26842651162790726,0.9902104651162791,0.7,1.0,0.669113651044754
7,442.8285,445.5871,0.9701662790697674,0.9637509302325581,0.037292151162790756,0.04531133720930239,0.2306088372093024,0.982706976744186,1.0,1.0,0.9533891710438073
8,436.803,441.6934499999999,0.9841790697674418,0.9728059302325583,0.019776162790697667,0.033992587209302115,0.17952116279069805,0.9884604651162792,1.0,1.0,0.9728221010600325
9,434.9565,443.62534999999997,0.9884732558139535,0.9683131395348838,0.014408430232558155,0.03960857558139526,0.23533325581395367,0.981074418604651,0.7,1.0,0.6788360773277445
10,433.9,439.04634999999996,0.9909302325581396,0.9789619767441862,0.011337209302325514,0.02629752906976733,0.2177581395348839,0.9898441860465117,1.0,1.0,0.9808665294753922
11,433.05,435.74860000000007,0.992906976744186,0.9866311627906975,0.008866279069767474,0.0167110465116281,0.1590574418604654,0.9941709302325581,1.0,1.0,0.9871192527041643
12,432.75,439.91324999999995,0.9936046511627907,0.9769459302325583,0.007994186046511628,0.028817587209302175,0.2225853488372096,0.9864313953488372,0.7,1.0,0.6860859757301243
13,434.13800000000003,437.2138,0.9903767441860465,0.9832237209302326,0.012029069767441959,0.020970348837209277,0.18749488372093032,0.9892139534883722,1.0,1.0,0.9796944945592212
14,428.9285,433.4375,0.9975081395348837,0.9920058139534884,-0.0031148255813953914,0.009992732558139535,0.1509786046511629,0.9936348837209302,1.0,1.0,0.9911588842374256
