t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,39.0,40.964749999999995,0.9166666666666666,0.8620902777777779,0.07575757575757577,0.12537247474747465,0.564436111111111,0.9233055555555555,1.0,1.0,0.8463634259259258
1,38.2245,40.22165,0.9382083333333333,0.8827319444444446,0.05617424242424241,0.10660732323232316,0.44521666666666665,0.9875277777777779,1.0,1.0,0.9265067905092593
2,38.5,39.5399,0.9305555555555556,0.9016694444444444,0.06313131313131314,0.08939141414141423,0.3402638888888888,1.0,1.0,1.0,0.9305555555555556
3,39.1085,40.00485,0.9136527777777778,0.8887541666666667,0.07849747474747475,0.10113257575757571,0.31541944444444464,0.9893611111111112,0.7,1.0,0.6327527691743828
4,39.05,39.583200000000005,0.9152777777777779,0.9004666666666665,0.07702020202020196,0.09048484848484863,0.2702666666666666,0.9666666666666667,1.0,1.0,0.8847685185185186
5,38.75,38.9123,0.9236111111111112,0.9191027777777777,0.06944444444444445,0.07354292929292935,0.2636111111111112,0.986111111111111,1.0,1.0,0.9107831790123456
6,38.747,39.0593,0.9236944444444445,0.9150194444444444,0.06936868686868687,0.07725505050505052,0.28200555555555556,0.9416666666666669,0.7,1.0,0.6088685879629631
7,38.5,38.73525,0.9305555555555556,0.9240208333333333,0.06313131313131314,0.06907196969696973,0.25436666666666674,0.9722222222222222,1.0,1.0,0.9047067901234568
8,38.196,38.078100000000006,0.9390000000000001,0.9422749999999999,0.05545454545454541,0.05247727272727289,0.22886666666666658,0.9555555555555557,1.0,1.0,0.8972666666666669
9,38.7155,38.344199999999994,0.9245694444444444,0.9348833333333335,0.0685732323232323,0.05919696969696955,0.17175277777777787,0.936111111111111,0.75,1.0,0.6491247974537037
10,38.302,38.099999999999994,0.9360555555555555,0.9416666666666669,0.05813131313131313,0.05303030303030289,0.19722222222222247,0.9580277777777779,1.0,1.0,0.8967672237654322
11,38.1725,37.497499999999995,0.9396527777777778,0.9584027777777779,0.054861111111111104,0.03781565656565645,0.1980472222222224,0.9497222222222221,1.0,1.0,0.892409124228395
12,38.0,37.72455,0.9444444444444444,0.9520958333333334,0.05050505050505051,0.04354924242424245,0.1641555555555557,0.9533055555555554,0.75,1.0,0.6752581018518516
13,37.95,37.581100000000006,0.9458333333333333,0.9560805555555554,0.049242424242424324,0.039926767676767845,0.1972666666666668,0.9722222222222222,1.0,1.0,0.9195601851851851
14,37.5955,37.06229999999999,0.9556805555555555,0.9704916666666669,0.04029040404040408,0.026825757575757413,0.19346111111111122,0.9783055555555553,1.0,1.0,0.9349475968364195
