idx,degree,resistance,signal,value,informed,rationale,last_reason
0,9,0.2999890583113435,38.13376053118023,38.4,True,Aligning with measurement,evidence
1,3,0.34324798073284046,59.49447314698246,38.5,False,Neighbours' consensus,social
2,2,0.09365646851978549,44.67209253318109,38.5,False,Neighbours' consensus,social
3,7,0.5468324970085986,31.137329065939994,32.859,True,Adjusted towards reliable measurement,evidence
4,9,0.1347877297766164,36.00016867822918,36.7,False,Neighbours' consensus,social
5,9,0.2489903161212555,39.12395081557841,38.9,True,Toward reliable measure,evidence
6,7,0.4103457700589651,34.194192785317966,36.394,True,Adjusted towards reliable measurement,evidence
7,7,0.2005654296071322,49.32308283383943,40.2,False,Adjusting towards neighbour mean,social
8,4,0.2230457337365193,25.23979782971272,27.871,True,Adjusted towards reliable measurement,evidence
9,3,0.24091908620877805,45.97162367604749,42.672,True,Adjusting towards reliable measurement,evidence
10,6,0.4161744853455709,61.36147602270857,42.094,False,Adjusted towards neighbours,social
11,5,0.6250649615377949,34.06649853010264,35.367,True,Adjusted towards measurement,evidence
12,5,0.3549847271598084,46.563968671033834,36.59,False,Neighbours' consensus,social
13,5,0.21584894658637796,36.27631060916077,36.45,True,Adjusted towards reliable measurement,evidence
14,4,0.41468699846969465,21.672542205824623,36.5,False,Neighbours' consensus,social
15,4,0.2784608360232239,36.50521085803199,37.0,True,Adjusted towards measurement,evidence
16,3,0.3477043404174618,53.28632251959601,37.0,False,Neighbours' consensus,social
17,3,0.49100014634003486,33.80490709911158,36.698,True,Adjusted towards neighbours,social
18,4,0.2602554860847365,29.50843236919499,36.8,False,Neighbours' consensus,social
19,3,0.351083030116799,34.71314521719201,35.406,False,Neighbours' mean,social
