t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0306,social
3,3,0.6,social,0.0341,social
3,4,0.6,social,0.0833,social
3,5,1.0,evidential,0.0175,evidence
3,6,0.6,social,0.0242,social
3,7,0.6,social,0.0796,social
3,10,0.6,social,0.0833,narrative
3,11,0.6,social,0.0148,social
6,0,0.6,social,0.0111,social
6,3,0.6,social,0.0382,social
6,4,0.6,social,0.0694,social
6,5,1.0,evidential,0.0167,evidence
6,6,0.6,social,0.02,social
6,7,0.6,social,0.0712,social
6,10,0.6,social,0.1333,social
6,11,0.6,social,0.0194,social
9,0,0.6,social,0.012,social
9,3,0.6,social,0.0372,social
9,4,0.6,social,0.0333,social
9,5,1.0,evidential,0.0116,evidence
9,6,0.6,social,0.0208,social
9,7,0.6,social,0.0635,social
9,10,0.6,social,0.1389,social
9,11,0.6,social,0.0267,social
12,0,0.6,social,0.0139,social
12,3,0.6,social,0.0417,social
12,4,0.6,social,0.0146,social
12,5,1.0,evidential,0.0141,evidence
12,6,0.6,social,0.02,social
12,7,0.6,social,0.0519,social
12,10,0.6,social,0.0897,narrative
12,11,0.6,social,0.0191,social
