t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.1925,social
3,1,1.0,evidential,0.0372,evidence
3,2,0.6,social,0.0778,social
3,4,1.0,evidential,0.0645,evidence
3,5,1.0,evidential,0.0857,evidence
3,6,1.0,evidential,0.0092,evidence
3,7,0.6,social,0.1149,social
3,8,1.0,evidential,0.0128,evidence
6,0,0.6,social,0.0674,social
6,1,1.0,evidential,0.0516,evidence
6,2,0.6,social,0.052,social
6,4,1.0,evidential,0.0141,evidence
6,5,1.0,evidential,0.0682,social
6,6,1.0,evidential,0.0161,evidence
6,7,0.6,social,0.1227,social
6,8,1.0,evidential,0.0028,social
9,0,0.6,social,0.0864,social
9,1,1.0,evidential,0.0349,evidence
9,2,0.6,social,0.0503,social
9,4,1.0,evidential,0.0079,evidence
9,5,1.0,evidential,0.0202,evidence
9,6,1.0,evidential,0.0207,evidence
9,7,0.6,social,0.1013,social
9,8,0.6,social,0.0155,social
12,0,0.6,social,0.0617,social
12,1,1.0,evidential,0.0325,evidence
12,2,0.6,social,0.0776,social
12,4,1.0,evidential,0.0028,social
12,5,1.0,evidential,0.046,evidence
12,6,1.0,evidential,0.0333,evidence
12,7,0.6,social,0.0759,social
12,8,1.0,evidential,0.0097,evidence
