t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,89.85249999999999,94.6597,0.967212643678161,0.9119574712643678,-0.07286079182630886,-0.19565006385696043,0.5810367816091955,0.9443563218390804,1.0,1.0,0.9133933746201611
1,89.80000000000001,92.3423,0.9678160919540229,0.9385942528735632,-0.07151979565772698,-0.13645721583652604,0.443164367816092,0.933316091954023,1.0,1.0,0.9032783326727439
2,89.1,90.43475000000002,0.9758620689655173,0.9605201149425284,-0.053639846743294875,-0.08773307790549227,0.343332183908046,0.9481321839080458,1.0,1.0,0.9252462346412998
3,87.56049999999999,88.16915,0.9935574712643679,0.9865614942528735,-0.014316730523626833,-0.029863346104725463,0.28211724137931055,0.972706896551724,0.8500000000000001,1.0,0.8214741737564408
4,86.8415,87.05039999999998,0.9981781609195401,0.9994206896551726,0.004048531289910694,-0.0012873563218386212,0.20094022988505755,0.9999310344827588,1.0,1.0,0.9981093210463734
5,86.361,86.393,0.9926551724137932,0.9930229885057471,0.016321839080459664,0.01550446998722859,0.14935287356321844,0.9981149425287357,1.0,1.0,0.9907839603646454
6,83.81,84.6343,0.9633333333333334,0.9728080459770114,0.08148148148148143,0.06042656449553011,0.1413586206896551,0.9737988505747128,0.8500000000000001,1.0,0.7973789588122607
7,84.0075,84.30825,0.965603448275862,0.9690603448275862,0.07643678160919558,0.06875478927203063,0.12595862068965513,0.9843735632183909,1.0,1.0,0.9505145070352754
8,83.35900000000001,83.86670000000001,0.9581494252873565,0.9639850574712645,0.09300127713920794,0.0800332056194123,0.13617586206896556,0.9999885057471266,1.0,1.0,0.9581384120755717
9,81.5325,82.64370000000001,0.9371551724137931,0.9499275862068967,0.13965517241379313,0.11127203065134075,0.18405862068965512,0.9617931034482761,0.75,1.0,0.6760120362663496
10,81.39349999999999,82.42550000000001,0.9355574712643677,0.9474195402298852,0.14320561941251625,0.11684546615581064,0.14275057471264377,0.9712816091954022,1.0,1.0,0.9086897661844363
11,81.429,82.81345,0.9359655172413793,0.951878735632184,0.1422988505747126,0.10693614303959124,0.15716781609195393,0.9785632183908045,1.0,1.0,0.9159014288545382
12,81.1855,81.6809,0.9331666666666667,0.9388609195402298,0.1485185185185184,0.13586462324393375,0.1653540229885058,0.9621609195402301,0.8500000000000001,1.0,0.7631780233716478
13,80.81700000000001,82.10775000000001,0.9289310344827587,0.9437672413793105,0.15793103448275844,0.12496168582375454,0.1636597701149425,0.9774080459770116,1.0,1.0,0.9079446672611972
14,80.6845,82.30955,0.9274080459770115,0.9460867816091955,0.1613154533844189,0.11980715197956573,0.16701149425287357,0.9927931034482758,1.0,1.0,0.9207243121284185
