t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,448.427,482.32949999999994,0.957146511627907,0.8783034883720932,0.05356686046511634,0.15212063953488356,0.916965581395349,0.7444627906976744,1.0,1.0,0.7125599631530557
1,454.10749999999996,475.1638,0.943936046511628,0.8949679069767442,0.070079941860465,0.13129011627906972,0.7695458139534883,0.7720395348837209,1.0,1.0,0.7287559463088156
2,453.0,471.00690000000003,0.9465116279069767,0.9046351162790697,0.06686046511627906,0.11920610465116288,0.7036781395348838,0.7617906976744186,1.0,1.0,0.7210437533802055
3,449.5,465.72614999999996,0.9546511627906977,0.9169159302325582,0.056686046511627904,0.10385508720930221,0.6013476744186046,0.7718790697674419,1.0,1.0,0.7368752514872905
4,455.9255,460.16755,0.9397081395348837,0.9298429069767442,0.07536482558139534,0.08769636627906978,0.5040109302325583,0.7928093023255814,1.0,1.0,0.7450093544943214
5,466.4255,455.17339999999996,0.9152895348837209,0.9414572093023257,0.10588808139534883,0.0731784883720929,0.4496367441860466,0.8105255813953487,1.0,1.0,0.7418655824067062
6,467.57550000000003,449.7075999999999,0.9126151162790697,0.9541683720930235,0.10923110465116288,0.05728953488372064,0.39098255813953486,0.8456232558139535,1.0,1.0,0.7717285659329366
7,468.27549999999997,444.3035000000001,0.9109872093023257,0.9667360465116277,0.11126598837209292,0.0415799418604654,0.3708948837209305,0.866453488372093,1.0,1.0,0.7893280453623581
8,462.5,437.9644,0.9244186046511628,0.9814781395348837,0.09447674418604651,0.023152325581395385,0.32732558139534884,0.8982860465116278,1.0,1.0,0.8303923336938884
9,459.0955,432.04735,0.9323360465116278,0.9952387209302326,0.08457994186046516,0.005951598837209286,0.32445976744186034,0.9149674418604652,1.0,1.0,0.8530571274310438
10,450.92949999999996,426.2915,0.9513267441860466,0.9913755813953488,0.06084156976744175,-0.010780523255813997,0.30819162790697674,0.9432139534883721,1.0,1.0,0.8973046594429422
11,442.775,423.7186999999999,0.9702906976744187,0.9853923255813951,0.03713662790697668,-0.018259593023256106,0.32158162790697675,0.9799651162790697,1.0,1.0,0.9508510363710113
12,437.33050000000003,420.00945,0.9829523255813952,0.9767661627906977,0.0213095930232559,-0.029042296511627864,0.33287930232558144,0.9988767441860466,1.0,1.0,0.9818482186668469
13,432.49199999999996,417.5959,0.9942046511627908,0.9711532558139534,0.0072441860465115165,-0.03605843023255822,0.3383451162790698,0.9778348837209302,1.0,1.0,0.9721679894645755
14,426.4765,415.2027499999999,0.9918058139534883,0.9655877906976742,-0.010242732558139572,-0.0430152616279072,0.3357106976744186,0.9638255813953488,1.0,1.0,0.955927815265008
