t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,37.35,39.73005,0.9624999999999999,0.8963875,0.03409090909090913,0.0941931818181818,0.8083333333333332,0.7472222222222222,1.0,1.0,0.7192013888888888
1,37.6,39.53575000000001,0.9555555555555555,0.9017847222222221,0.04040404040404045,0.08928661616161636,0.7005861111111114,0.7666666666666666,1.0,1.0,0.7325925925925925
2,37.828500000000005,39.09655,0.9492083333333332,0.9139847222222222,0.04617424242424257,0.0781957070707071,0.5553305555555557,0.7753888888888889,1.0,1.0,0.7360055949074074
3,37.6,38.5346,0.9555555555555555,0.9295944444444445,0.04040404040404045,0.06400505050505045,0.39496388888888906,0.7916666666666666,1.0,1.0,0.7564814814814814
4,37.599999999999994,38.010999999999996,0.9555555555555557,0.944138888888889,0.04040404040404027,0.05078282828282818,0.3664,0.827361111111111,1.0,1.0,0.7905895061728395
5,37.6175,37.478300000000004,0.9550694444444444,0.958936111111111,0.040845959595959595,0.037330808080808194,0.3199972222222221,0.8630555555555556,1.0,1.0,0.8242779899691358
6,37.8,36.99835,0.9500000000000001,0.9722680555555555,0.045454545454545386,0.025210858585858642,0.31276388888888895,0.891111111111111,1.0,1.0,0.8465555555555555
7,37.349999999999994,36.50445,0.9625000000000001,0.9859875,0.03409090909090895,0.012738636363636327,0.2843972222222223,0.9202777777777779,1.0,1.0,0.8857673611111113
8,37.19,36.0758,0.9669444444444445,0.9978944444444444,0.030050505050504998,0.001914141414141439,0.2729888888888889,0.9559444444444445,1.0,1.0,0.9243451697530866
9,36.75,35.73235,0.9791666666666666,0.9925652777777777,0.018939393939393943,-0.006758838383838468,0.26022777777777795,0.9853888888888888,1.0,1.0,0.9648599537037036
10,36.5,35.43435,0.9861111111111112,0.9842875000000001,0.012626262626262628,-0.014284090909090861,0.2615749999999999,0.9923333333333335,1.0,1.0,0.9785509259259262
11,36.147000000000006,35.21040000000001,0.9959166666666666,0.9780666666666669,0.003712121212121353,-0.019939393939393764,0.25888055555555556,0.9801944444444446,1.0,1.0,0.9761919837962963
12,35.927,35.04785,0.9979722222222223,0.9735513888888888,-0.0018434343434343538,-0.024044191919192003,0.2489583333333335,0.9816111111111111,1.0,1.0,0.9796206219135802
13,35.5,34.96210000000001,0.9861111111111112,0.9711694444444446,-0.012626262626262628,-0.026209595959595797,0.25881666666666675,0.9690277777777777,1.0,1.0,0.9555690586419753
14,35.3645,34.899950000000004,0.9823472222222223,0.9694430555555557,-0.01604797979797981,-0.027779040404040306,0.27116111111111124,0.978111111111111,1.0,1.0,0.9608447330246913
