t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,90.7565,96.87910000000001,0.9568218390804597,0.8864471264367815,-0.09595146871008947,-0.2523397190293744,0.9752333333333334,0.7298850574712643,1.0,1.0,0.6983699630070022
1,91.49000000000001,94.53005,0.9483908045977011,0.9134477011494253,-0.11468710089399768,-0.1923384418901661,0.7783287356321837,0.7660689655172414,1.0,1.0,0.7265327625842251
2,91.009,92.08480000000002,0.953919540229885,0.9415540229885055,-0.10240102171136656,-0.12987994891443208,0.562344827586207,0.7764137931034484,1.0,1.0,0.7406362885453825
3,89.772,89.94405,0.9681379310344826,0.9661603448275862,-0.07080459770114957,-0.0751992337164752,0.4577264367816091,0.8334942528735633,1.0,1.0,0.8069374015061435
4,88.13300000000001,88.1045,0.9869770114942528,0.9873045977011494,-0.028939974457216088,-0.028212005108556874,0.411357471264368,0.8789655172413794,1.0,1.0,0.8675187594133967
5,87.98249999999999,86.84060000000001,0.9887068965517243,0.9981678160919542,-0.02509578544061271,0.004071519795657494,0.378867816091954,0.9250804597701149,1.0,1.0,0.9146334304399525
6,86.851,85.55195,0.9982873563218391,0.9833557471264368,0.0038058748403576224,0.036987228607918136,0.3284126436781611,0.9634137931034481,1.0,1.0,0.9617638085612364
7,85.491,84.37325,0.9826551724137931,0.9698074712643678,0.038544061302682,0.06709450830140488,0.32261034482758616,0.9963563218390805,1.0,1.0,0.9790746932223544
8,84.439,83.5475,0.9705632183908045,0.960316091954023,0.06541507024265664,0.08818646232439338,0.328816091954023,0.9744597701149424,1.0,1.0,0.945774810675122
9,83.7825,82.66805000000001,0.9630172413793103,0.9502074712643679,0.08218390804597704,0.1106500638569602,0.34289655172413785,0.9647701149425285,1.0,1.0,0.929090254657154
10,83.123,82.21889999999999,0.9554367816091954,0.9450448275862068,0.09902937420178788,0.12212260536398492,0.334412643678161,0.9769540229885058,1.0,1.0,0.9334178075042938
11,82.959,81.83305,0.9535517241379311,0.9406097701149425,0.10321839080459762,0.13197828863346106,0.3372586206896553,0.9853103448275861,1.0,1.0,0.9395443781212841
12,82.503,81.7227,0.9483103448275862,0.9393413793103449,0.11486590038314176,0.1347969348659003,0.32983678160919544,0.985609195402299,1.0,1.0,0.9346633959571939
13,82.3005,81.3836,0.9459827586206897,0.9354436781609196,0.12003831417624522,0.14345849297573432,0.3366666666666667,0.9914597701149427,1.0,1.0,0.9379038483947684
14,81.8615,81.1443,0.9409367816091955,0.9326931034482758,0.13125159642401005,0.1495708812260536,0.2935609195402299,0.996816091954023,1.0,1.0,0.9379409254194743
