idx,degree,resistance,signal,value,informed,rationale,last_reason
0,15,0.5449214436395889,90.53445091258467,81.75,False,Neighbours' consensus,social
1,6,0.2765892303619909,68.92303688759898,72.911,True,Adjusted towards measurement,evidence
2,3,0.2866193897283853,73.23603726744973,79.999,False,Neighbours' mean,social
3,1,0.22124376534125953,115.09667968049071,82.936,False,Neighbours' consensus,social
4,9,0.4538489155189614,166.7751848487249,83.568,False,Neighbours' consensus,social
5,6,0.07381535637436609,121.04617723094077,112.0,True,Adjusting towards reliable measurement,evidence
6,6,0.5593774117059775,95.32068612877978,89.419,True,Adjusted towards own measurement,evidence
7,6,0.25865517189258763,89.07660664960139,86.513,True,Adjusted towards reliable measurement,evidence
8,6,0.3882846915268518,72.08010542389353,76.29,True,Adjusted towards measurement,evidence
9,5,0.3200755549427108,47.22632462860638,80.534,False,Adjusted towards neighbours,social
10,4,0.5254529524453968,120.37171572793753,81.492,False,Neighbours' consensus,social
11,4,0.1027831148602815,89.48085997698442,73.456,False,Neighbours' consensus,social
12,4,0.3113099355183791,249.59431678558286,83.674,False,Neighbours' consensus,social
13,4,0.3039134774397901,77.73516828152728,79.072,True,Adjusted towards measurement,evidence
14,6,0.4860523330802525,93.01315596061096,86.504,True,Adjusting towards own measurement,evidence
15,3,0.21801304792231627,79.59605565194914,80.782,True,Adjusting towards measurement,evidence
16,4,0.3293086150939477,48.04537805715074,49.272,True,Adjusting towards measurement,evidence
17,3,0.24465698984943537,178.6317212760802,74.308,False,Neighbours' consensus,social
18,4,0.3550656496058711,82.40303548196465,85.5,True,Adjusted towards reliable measurement,evidence
19,3,0.41993782564589865,131.17657120319342,84.985,False,Neighbours' consensus,social
