t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,535.314,558.10255,0.9544648437500001,0.9099559570312501,0.07589192708333321,0.1500734049479165,0.7351169921875002,0.792228515625,1.0,1.0,0.75615426638031
1,537.5055,557.81485,0.9501845703125,0.91051787109375,0.08302571614583326,0.14913688151041657,0.6320205078124999,0.7890390625000001,1.0,1.0,0.7497327425613405
2,534.9555,550.71375,0.9551650390624999,0.92438720703125,0.07472493489583341,0.12602132161458332,0.5283652343750002,0.7965390625,1.0,1.0,0.7608262647476195
3,540.305,554.6060499999999,0.9447167968750001,0.9167850585937503,0.09213867187499983,0.1386915690104162,0.5942246093750001,0.8051210937499998,0.7,1.0,0.5324279945487975
4,538.6175000000001,548.0474,0.9480126953124999,0.9295949218749999,0.08664550781250019,0.11734179687500011,0.52540546875,0.8230078125000001,1.0,1.0,0.7802218545913696
5,534.9784999999999,540.4321,0.9551201171875001,0.9444685546875,0.07479980468749979,0.09255240885416663,0.40049316406250013,0.8297050781249999,1.0,1.0,0.7924680114498139
6,540.7094999999999,545.0570499999999,0.9439267578125001,0.9354354492187502,0.0934554036458331,0.1076075846354163,0.4254320312500002,0.8618437499999999,0.6,1.0,0.4881104260070801
7,550.5325,540.2629,0.9247412109375,0.9447990234375001,0.12543131510416675,0.09200162760416647,0.37106210937500006,0.875,1.0,1.0,0.8091485595703125
8,553.8455,530.9221,0.9182705078125,0.9630427734375,0.13621582031250004,0.06159537760416666,0.3289330078125,0.890625,1.0,1.0,0.8178346710205078
9,561.1485,537.0172,0.9040068359375,0.95113828125,0.15998860677083335,0.08143619791666666,0.3483750000000003,0.8983222656250001,0.5,1.0,0.40604473449993134
10,563.29,532.6968999999999,0.8998242187500001,0.9595763671875002,0.16695963541666653,0.06737272135416637,0.3273916015624999,0.8878496093749999,1.0,1.0,0.7989085811233521
11,556.742,524.79045,0.9126132812500001,0.9750186523437501,0.14564453124999985,0.04163557942708321,0.32004511718750006,0.8995683593749999,1.0,1.0,0.820958032157898
12,555.638,531.2354,0.9147695312499999,0.962430859375,0.1420507812500001,0.06261523437500008,0.3226376953125002,0.907970703125,0.55,1.0,0.45682116396751404
13,555.7875,528.271,0.9144775390625,0.9682207031250001,0.1425374348958334,0.052965494791666526,0.30858945312499997,0.8879902343749999,1.0,1.0,0.8120471242427825
14,548.3185000000001,520.97625,0.9290654296874998,0.9824682617187499,0.11822428385416693,0.02921956380208349,0.3030449218749999,0.915837890625,1.0,1.0,0.8508733233776091
