t,idx,autonomy,basis,magnitude,reason
3,0,0.2,pressure,0.043,social
3,1,0.6,social,0.0336,social
3,4,0.2,pressure,0.1089,narrative
3,5,1.0,evidential,0.0586,evidence
3,6,0.6,social,0.0297,social
3,7,0.6,social,0.0275,social
3,8,0.6,social,0.0469,social
3,14,1.0,evidential,0.0781,evidence
6,0,0.6,social,0.0587,social
6,1,0.6,social,0.0435,social
6,4,0.2,pressure,0.0977,narrative
6,5,1.0,evidential,0.0586,evidence
6,6,0.2,pressure,0.0317,narrative
6,7,0.6,social,0.0358,social
6,8,0.6,social,0.0586,social
6,14,1.0,evidential,0.0781,evidence
9,0,0.6,social,0.0317,social
9,1,0.6,social,0.035,social
9,4,0.2,pressure,0.1095,narrative
9,5,1.0,evidential,0.0859,evidence
9,6,0.6,social,0.0324,social
9,7,0.6,social,0.0299,social
9,8,0.6,social,0.035,social
9,14,1.0,evidential,0.051,evidence
12,0,0.6,social,0.0535,narrative
12,1,0.6,social,0.0276,social
12,4,0.2,pressure,0.0817,narrative
12,5,1.0,evidential,0.0703,evidence
12,6,0.2,pressure,0.0312,evidence
12,7,0.6,social,0.0388,narrative
12,8,0.6,social,0.0286,social
12,14,1.0,evidential,0.0464,evidence
