t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,469.189,501.95855,0.9088627906976744,0.8326545348837209,0.11392151162790704,0.20918183139534885,0.7399362790697673,0.9210558139534885,1.0,1.0,0.8371133574580855
1,454.97299999999996,485.72925000000004,0.9419232558139536,0.8703970930232557,0.07259593023255802,0.16200363372093032,0.5925499999999999,0.9902697674418603,1.0,1.0,0.9327581234829638
2,455.4225,473.0174999999999,0.9408779069767441,0.8999593023255815,0.07390261627906981,0.12505087209302304,0.4602265116279071,0.9663534883720929,1.0,1.0,0.9092206475392102
3,467.0305,472.75020000000006,0.9138825581395349,0.900580930232558,0.10764680232558145,0.1242738372093025,0.504445581395349,0.9690697674418605,0.7,1.0,0.6199311706598162
4,464.5075,464.30495,0.9197500000000001,0.9202210465116278,0.10031249999999999,0.09972369186046517,0.46011069767441876,0.9656162790697674,1.0,1.0,0.8881255726744187
5,459.2655,455.1327,0.9319406976744187,0.9415518604651163,0.08507412790697667,0.07306017441860466,0.39378883720930236,0.9426976744186046,1.0,1.0,0.8785383283937264
6,462.2405,454.79044999999996,0.9250220930232558,0.9423477906976745,0.09372238372093022,0.07206526162790687,0.38318767441860446,0.9731883720930233,0.75,1.0,0.6751655586445375
7,456.5645,450.28989999999993,0.9382220930232558,0.9528141860465118,0.07722238372093027,0.05898226744186027,0.3466739534883722,0.9386325581395348,1.0,1.0,0.8806458032774471
8,454.4045,442.7840499999999,0.9432453488372093,0.9702696511627908,0.07094331395348832,0.0371629360465114,0.29558209302325594,0.9448651162790698,1.0,1.0,0.8912396262087615
9,458.0295,444.5733,0.9348151162790698,0.9661086046511628,0.08148110465116275,0.04236424418604656,0.23745604651162824,0.9341162790697676,0.8500000000000001,1.0,0.7422421153312603
10,457.5955,440.50409999999994,0.9358244186046512,0.9755718604651165,0.08021947674418609,0.03053517441860447,0.25397604651162814,0.9453720930232559,1.0,1.0,0.8847022893185507
11,450.6975,435.7616999999999,0.9518662790697675,0.9866006976744188,0.06016715116279067,0.01674912790697647,0.2430467441860467,0.9794325581395349,1.0,1.0,0.9322888247160628
12,446.0955,439.62515,0.9625686046511628,0.9776159302325581,0.046789244186046554,0.02798008720930238,0.2318358139534886,0.9315139534883721,0.8,1.0,0.7173168691379124
13,443.45550000000003,436.9549,0.9687081395348837,0.9838258139534883,0.03911482558139543,0.02021773255813956,0.2514423255813955,0.9465906976744186,1.0,1.0,0.9169701136452135
14,440.85,432.85074999999995,0.974767441860465,0.9933703488372094,0.03154069767441867,0.008287063953488221,0.2558376744186048,0.9636255813953488,1.0,1.0,0.9393108428880476
