t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0201,evidence
3,3,0.6,social,0.0177,evidence
3,4,0.6,social,0.0302,social
3,5,0.6,social,0.0067,social
3,6,1.0,evidential,0.0181,social
3,7,0.2,pressure,0.0698,social
3,10,0.2,pressure,0.0951,narrative
3,11,0.6,social,0.0233,social
6,0,0.6,social,0.007,evidence
6,3,1.0,evidential,0.0349,social
6,4,0.6,social,0.0233,social
6,5,1.0,evidential,0.003,evidence
6,6,0.6,social,0.0322,social
6,7,0.6,social,0.0698,social
6,10,0.2,pressure,0.0791,narrative
6,11,1.0,evidential,0.0116,social
9,0,1.0,evidential,0.0023,evidence
9,3,1.0,evidential,0.0195,evidence
9,4,0.6,social,0.0302,social
9,5,1.0,evidential,0.0047,evidence
9,6,0.6,social,0.0211,evidence
9,7,0.6,social,0.0536,social
9,10,0.2,pressure,0.1163,narrative
9,11,0.6,social,0.0107,social
12,0,1.0,evidential,0.0039,evidence
12,3,1.0,evidential,0.0186,social
12,4,0.6,social,0.0349,social
12,5,1.0,evidential,0.0047,evidence
12,6,0.6,social,0.0349,social
12,7,0.6,social,0.0613,social
12,10,0.2,pressure,0.1163,narrative
12,11,0.6,social,0.0091,evidence
