t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0278,social
3,3,0.6,social,0.034,social
3,4,0.6,social,0.0389,social
3,5,1.0,evidential,0.0278,evidence
3,6,0.6,social,0.0225,social
3,7,0.6,social,0.0659,social
3,10,0.6,social,0.0833,narrative
3,11,0.6,social,0.0142,social
6,0,0.6,social,0.0083,social
6,3,0.6,social,0.0381,social
6,4,0.6,social,0.0194,social
6,5,1.0,evidential,0.0174,evidence
6,6,0.6,social,0.0333,social
6,7,0.6,social,0.0617,social
6,10,0.6,social,0.1389,social
6,11,0.6,social,0.023,social
9,0,0.6,social,0.0083,social
9,3,0.6,social,0.0125,social
9,4,0.6,social,0.0139,social
9,5,1.0,evidential,0.0,evidence
9,6,0.6,social,0.036,social
9,7,0.6,social,0.063,social
9,10,0.6,social,0.1215,social
9,11,0.6,social,0.0225,social
12,0,0.6,social,0.0194,evidence
12,3,0.6,social,0.0278,social
12,4,0.6,social,0.02,social
12,5,1.0,evidential,0.014,evidence
12,6,0.6,social,0.02,social
12,7,0.6,social,0.0644,social
12,10,0.6,social,0.0886,social
12,11,0.6,social,0.0126,social
