t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,37.05,38.935050000000004,0.9708333333333334,0.9184708333333332,0.026515151515151446,0.07411742424242435,0.4222694444444446,0.9606944444444445,1.0,1.0,0.932674189814815
1,37.309,38.4365,0.9636388888888889,0.9323194444444444,0.0330555555555555,0.06152777777777785,0.3386000000000002,0.9704027777777777,1.0,1.0,0.9351178545524691
2,37.3245,38.07735,0.9632083333333333,0.9422958333333332,0.03344696969696971,0.05245833333333341,0.3088916666666667,0.9812361111111111,1.0,1.0,0.9451347991898148
3,37.8595,38.4251,0.9483472222222223,0.9326361111111111,0.04695707070707064,0.06123989898989901,0.24551944444444473,0.9555555555555553,0.6499999999999999,1.0,0.58902899691358
4,37.8,38.10339999999999,0.9500000000000001,0.9415722222222224,0.045454545454545386,0.05311616161616146,0.22690277777777781,0.9888888888888889,1.0,1.0,0.9394444444444445
5,37.397,37.6795,0.9611944444444445,0.9533472222222223,0.03527777777777774,0.0424116161616161,0.16983333333333345,0.9992222222222222,1.0,1.0,0.9604468487654322
6,37.35,38.033100000000005,0.9624999999999999,0.9435249999999998,0.03409090909090913,0.051340909090909215,0.20245555555555564,0.9648888888888889,0.6499999999999999,1.0,0.603658611111111
7,37.35,37.8283,0.9624999999999999,0.9492138888888889,0.03409090909090913,0.046169191919191895,0.19103611111111127,0.9958333333333335,1.0,1.0,0.9584895833333333
8,37.079499999999996,37.41535,0.970013888888889,0.9606847222222223,0.02726010101010091,0.03574116161616153,0.16351111111111136,0.9980416666666666,1.0,1.0,0.9681142783564815
9,37.2235,37.98585,0.9660138888888888,0.9448375,0.030896464646464686,0.05014772727272726,0.22014444444444475,0.9934305555555556,0.6499999999999999,1.0,0.6237840143036265
10,37.2,37.673300000000005,0.9666666666666666,0.9535194444444444,0.03030303030303038,0.04225505050505063,0.18072222222222242,0.9922777777777776,1.0,1.0,0.9592018518518516
11,36.849999999999994,37.22515,0.9763888888888891,0.9659680555555555,0.021464646464646325,0.0309381313131313,0.14863888888888907,0.9944583333333333,1.0,1.0,0.9709780671296299
12,36.9,37.585899999999995,0.9750000000000001,0.9559472222222224,0.022727272727272693,0.04004797979797968,0.2131916666666667,0.9952916666666667,0.6499999999999999,1.0,0.6307660937499999
13,36.908500000000004,37.4848,0.9747638888888888,0.9587555555555556,0.022941919191919288,0.0374949494949495,0.1791527777777778,0.9836666666666666,1.0,1.0,0.9588427453703702
14,36.982,37.1067,0.9727222222222223,0.9692583333333334,0.024797979797979784,0.027946969696969613,0.15008055555555563,0.9891805555555556,1.0,1.0,0.9621979081790124
