t,idx,autonomy,basis,magnitude,reason
3,0,0.6,social,0.0937,social
3,1,1.0,evidential,0.0413,evidence
3,4,0.6,social,0.1454,social
3,5,1.0,evidential,0.046,evidence
3,6,0.6,social,0.0169,social
3,7,1.0,evidential,0.0473,evidence
3,8,1.0,evidential,0.0664,evidence
3,14,1.0,evidential,0.0231,evidence
6,0,0.6,social,0.0223,social
6,1,1.0,evidential,0.0453,evidence
6,4,0.6,social,0.0439,social
6,5,1.0,evidential,0.046,evidence
6,6,1.0,evidential,0.0131,evidence
6,7,0.6,social,0.0139,social
6,8,1.0,evidential,0.0352,evidence
6,14,1.0,evidential,0.0109,evidence
9,0,0.6,social,0.0669,social
9,1,1.0,evidential,0.0338,evidence
9,4,0.6,social,0.0617,social
9,5,1.0,evidential,0.0,evidence
9,6,1.0,evidential,0.0354,social
9,7,1.0,evidential,0.0091,evidence
9,8,1.0,evidential,0.0491,evidence
9,14,1.0,evidential,0.0114,evidence
12,0,0.6,social,0.0519,social
12,1,1.0,evidential,0.0494,evidence
12,4,0.6,social,0.0776,social
12,5,1.0,evidential,0.0,evidence
12,6,1.0,evidential,0.023,evidence
12,7,1.0,evidential,0.015,evidence
12,8,1.0,evidential,0.0342,evidence
12,14,1.0,evidential,0.0105,evidence
