t,consensus,consensus_mean,accuracy,accuracy_mean,manip_drift,manip_drift_mean,divergence,fairness,measured_autonomy,verified_integrity,gECS
0,92.25,100.0234,0.9396551724137931,0.8503057471264368,-0.13409961685823754,-0.33265389527458483,0.7853816091954022,0.9482758620689654,1.0,1.0,0.8910523186682521
1,94.02799999999999,96.4977,0.9192183908045978,0.8908310344827587,-0.1795146871008938,-0.24259770114942517,0.5420137931034483,0.9896551724137932,1.0,1.0,0.9097092350376538
2,93.328,93.3699,0.9272643678160919,0.9267827586206896,-0.1616347381864624,-0.1627049808429119,0.39661839080459765,0.9730574712643678,1.0,1.0,0.902281520940679
3,89.71600000000001,89.70925,0.9687816091954022,0.9688591954022989,-0.0693742017879951,-0.06920178799489138,0.3992747126436781,0.9831954022988505,0.8500000000000001,1.0,0.8096263803937112
4,88.70949999999999,87.17395,0.9803505747126438,0.9980005747126436,-0.04366538952745827,-0.0044431673052363965,0.3202229885057474,0.9726781609195403,1.0,1.0,0.9535655940679088
5,86.758,85.74249999999999,0.9972183908045976,0.9855459770114942,0.006181353767560778,0.032120051085568514,0.2487988505747128,0.9854942528735632,1.0,1.0,0.9827529929977539
6,86.071,83.82015,0.9893218390804598,0.96345,0.02372924648786723,0.08122222222222228,0.25724252873563236,0.960816091954023,0.8500000000000001,1.0,0.8079728916435461
7,85.3115,83.01,0.9805919540229885,0.9541379310344829,0.04312899106002566,0.1019157088122604,0.19663218390804596,0.9474712643678163,1.0,1.0,0.9290826985070685
8,84.45,82.32455000000002,0.9706896551724138,0.9462591954022991,0.06513409961685816,0.11942401021711326,0.16285402298850576,0.9649655172413792,1.0,1.0,0.9366820451843043
9,81.8765,80.81530000000001,0.9411091954022988,0.9289114942528737,0.1308684546615583,0.15797445721583633,0.19115287356321828,0.9852298850574711,0.9,1.0,0.8344880139714623
10,81.13300000000001,80.4134,0.9325632183908047,0.9242919540229885,0.14985951468710065,0.16824010217113677,0.15894942528735642,0.9950344827586207,1.0,1.0,0.927932559651209
11,81.0255,80.1816,0.9313275862068965,0.9216275862068966,0.1526053639846745,0.1741609195402298,0.16877816091954026,0.9802643678160919,1.0,1.0,0.9129472475227902
12,80.13900000000001,78.9374,0.9211379310344828,0.9073264367816092,0.17524904214559361,0.2059412515964241,0.18707586206896565,0.9870344827586207,0.9,1.0,0.8182754111771702
13,79.08250000000001,79.13665,0.9089942528735633,0.9096166666666667,0.2022349936143037,0.20085185185185178,0.17567931034482753,0.9859770114942529,1.0,1.0,0.8962474369137271
14,79.336,79.2083,0.9119080459770115,0.9104402298850574,0.19575989782886338,0.19902171136653912,0.17077126436781595,0.9827586206896551,1.0,1.0,0.8961854934601664
