model,mode,qid,seed,accuracy_mean,manip_drift_mean
Llama-3.3-70B-Instruct,governed,dist_km,0,0.9476317441860466,-0.06546031976744185
Llama-3.3-70B-Instruct,governed,dist_km,1,0.9727291860465116,-0.034088517441860464
Llama-3.3-70B-Instruct,governed,dist_km,2,0.9865831395348837,0.01677107558139535
Llama-3.3-70B-Instruct,governed,dist_km,3,0.8814394186046512,0.148200726744186
Llama-3.3-70B-Instruct,governed,year_gap,0,0.8852327586206897,0.255038314176245
Llama-3.3-70B-Instruct,governed,year_gap,1,0.9033919540229883,0.21468454661558142
Llama-3.3-70B-Instruct,governed,year_gap,2,0.9761063218390804,0.053097062579821185
Llama-3.3-70B-Instruct,governed,year_gap,3,0.9662086206896551,-0.07509195402298868
Llama-3.3-70B-Instruct,unconstrained,dist_km,0,0.8746740697674419,0.1566574127906977
Llama-3.3-70B-Instruct,unconstrained,dist_km,1,0.881695465116279,0.14788066860465116
Llama-3.3-70B-Instruct,unconstrained,dist_km,2,0.8866444186046509,0.14169447674418628
Llama-3.3-70B-Instruct,unconstrained,dist_km,3,0.7449138372093023,0.3188577034883721
Llama-3.3-70B-Instruct,unconstrained,year_gap,0,0.777069540229885,0.4954010217113668
Llama-3.3-70B-Instruct,unconstrained,year_gap,1,0.8300310344827587,0.3777088122605361
Llama-3.3-70B-Instruct,unconstrained,year_gap,2,0.8949068965517241,0.23354022988505757
Llama-3.3-70B-Instruct,unconstrained,year_gap,3,0.936906896551724,0.14020689655172433
DeepSeek-V3.2,governed,dist_km,0,0.9762132558139534,0.029733430232558276
DeepSeek-V3.2,governed,dist_km,1,0.9731794186046513,-0.03352572674418587
DeepSeek-V3.2,governed,dist_km,2,0.9595082558139536,0.05061468023255798
DeepSeek-V3.2,governed,dist_km,3,0.8455551162790695,0.19305610465116307
DeepSeek-V3.2,governed,year_gap,0,0.9777258620689655,0.049498084291187676
DeepSeek-V3.2,governed,year_gap,1,0.9967183908045977,0.007292464878671749
DeepSeek-V3.2,governed,year_gap,2,0.9908132183908044,0.02041507024265683
DeepSeek-V3.2,governed,year_gap,3,0.8127166666666666,-0.4161851851851852
DeepSeek-V3.2,unconstrained,dist_km,0,0.8976838372093023,0.12789520348837208
DeepSeek-V3.2,unconstrained,dist_km,1,0.9153110465116278,0.10586119186046526
DeepSeek-V3.2,unconstrained,dist_km,2,0.925481046511628,0.09314869186046502
DeepSeek-V3.2,unconstrained,dist_km,3,0.7492261627906979,0.3134672965116277
DeepSeek-V3.2,unconstrained,year_gap,0,0.865362643678161,0.2991941251596423
DeepSeek-V3.2,unconstrained,year_gap,1,0.9306249999999999,0.15416666666666692
DeepSeek-V3.2,unconstrained,year_gap,2,0.9758666666666668,0.05362962962962951
DeepSeek-V3.2,unconstrained,year_gap,3,0.9029114942528736,-0.21575223499361412
Qwen3-235B-A22B-Instruct-2507,governed,dist_km,0,0.951547441860465,-0.06056569767441867
Qwen3-235B-A22B-Instruct-2507,governed,dist_km,1,0.9563508139534884,-0.05456148255813944
Qwen3-235B-A22B-Instruct-2507,governed,dist_km,2,0.9810588372093024,0.02367645348837193
Qwen3-235B-A22B-Instruct-2507,governed,dist_km,3,0.9062198837209303,0.11722514534883718
Qwen3-235B-A22B-Instruct-2507,governed,year_gap,0,0.9495333333333332,0.11214814814814832
Qwen3-235B-A22B-Instruct-2507,governed,year_gap,1,0.9512994252873564,0.10822349936143022
Qwen3-235B-A22B-Instruct-2507,governed,year_gap,2,0.9775862068965517,-0.04980842911877402
Qwen3-235B-A22B-Instruct-2507,governed,year_gap,3,0.8888224137931034,-0.24706130268199228
Qwen3-235B-A22B-Instruct-2507,unconstrained,dist_km,0,0.9555417441860465,-0.055572819767441876
Qwen3-235B-A22B-Instruct-2507,unconstrained,dist_km,1,0.9581424418604653,-0.05232194767441836
Qwen3-235B-A22B-Instruct-2507,unconstrained,dist_km,2,0.9642468604651161,0.04469142441860483
Qwen3-235B-A22B-Instruct-2507,unconstrained,dist_km,3,0.8801365116279071,0.14982936046511622
