lang,mode,qid,seed,accuracy_mean,manip_drift_mean
English,governed,dist_km,0,0.9528243023255812,-0.05896962209302342
English,governed,dist_km,1,0.9808134883720929,-0.023983139534883905
English,governed,dist_km,2,0.9978324418604652,0.002709447674418616
English,governed,dist_km,3,0.8847304651162792,0.144086918604651
English,governed,year_gap,0,0.8898764367816092,0.24471902937420167
English,governed,year_gap,1,0.903540804597701,0.21435376756066435
English,governed,year_gap,2,0.9815534482758622,0.04099233716475057
English,governed,year_gap,3,0.9758005747126437,-0.05377650063856964
English,unconstrained,dist_km,0,0.8696723255813952,0.16290959302325606
English,unconstrained,dist_km,1,0.8964295348837209,0.12946308139534884
English,unconstrained,dist_km,2,0.8847175581395348,0.1441030523255815
English,unconstrained,dist_km,3,0.7382952325581396,0.3271309593023256
English,unconstrained,year_gap,0,0.7823459770114942,0.483675606641124
English,unconstrained,year_gap,1,0.8348879310344828,0.36691570881226054
English,unconstrained,year_gap,2,0.8879356321839079,0.24903192848020475
English,unconstrained,year_gap,3,0.9394344827586205,0.13459003831417657
Spanish,governed,dist_km,0,0.9209052325581396,-0.0988684593023255
Spanish,governed,dist_km,1,0.9494781395348837,-0.06315232558139536
Spanish,governed,dist_km,2,0.9874697674418604,0.015662790697674515
Spanish,governed,dist_km,3,0.9289411627906977,0.08882354651162787
Spanish,governed,year_gap,0,0.8520160919540228,0.32885312899106045
Spanish,governed,year_gap,1,0.8957005747126435,0.23177650063856997
Spanish,governed,year_gap,2,0.9631448275862069,0.08190038314176251
Spanish,governed,year_gap,3,0.9829413793103449,-0.037908045977011445
Spanish,unconstrained,dist_km,0,0.9287730232558138,0.0890337209302328
Spanish,unconstrained,dist_km,1,0.921961395348837,0.09754825581395367
Spanish,unconstrained,dist_km,2,0.8940636046511629,0.13242049418604643
Spanish,unconstrained,dist_km,3,0.7614636046511628,0.2981704941860465
Spanish,unconstrained,year_gap,0,0.7515505747126436,0.5521098339719029
Spanish,unconstrained,year_gap,1,0.8249074712643679,0.38909450830140463
