mode,seed,obj_acc,capture,cohesion,mission_success,safety_violation,autonomy
governed,0,0.8967351008133795,0.14290326463227188,0.7654969675513633,0.7142857142857143,0.13043478260869565,1.0
governed,1,0.9096252657410738,0.1324515656828078,0.8161772800784242,0.6428571428571429,0.043478260869565216,1.0
governed,2,0.8335614083990366,0.15471530050588503,0.8031985397112114,0.5714285714285714,0.0,1.0
governed,3,0.9125269505653184,0.04728820431406517,0.8069925011185742,0.7142857142857143,0.0,1.0
governed,4,0.9315215211163443,0.09975853790593456,0.8094551111623536,0.7857142857142857,0.08695652173913043,1.0
governed,5,0.9070797536293261,0.11765224519066692,0.7568919124427532,0.7142857142857143,0.08695652173913043,1.0
naive,0,0.7862247479796101,0.3170562744464398,0.8151986531266516,0.21428571428571427,0.043478260869565216,0.2761904761904762
naive,1,0.7438178130954995,0.3797538158500799,0.7591336279551442,0.21428571428571427,0.043478260869565216,0.2
naive,2,0.8136825157214476,0.2590297846348763,0.8010901292141479,0.2857142857142857,0.0,0.47619047619047616
naive,3,0.8235730742209965,0.22207553598255259,0.7496344516410578,0.35714285714285715,0.13043478260869565,0.3428571428571429
naive,4,0.824511680773066,0.25922821160332316,0.7867198766737815,0.35714285714285715,0.043478260869565216,0.5285714285714287
naive,5,0.768114485690469,0.33717818732532034,0.8215604645991872,0.35714285714285715,0.043478260869565216,0.2571428571428572
unconstrained,0,0.7558190643121965,0.3635674822037301,0.8094700407974127,0.21428571428571427,0.043478260869565216,0.2571428571428572
unconstrained,1,0.7317921109150777,0.39801225614441327,0.8087903859060066,0.21428571428571427,0.0,0.2
unconstrained,2,0.8126827437196087,0.2633266557644098,0.8040533303248176,0.35714285714285715,0.0,0.4809523809523809
unconstrained,3,0.8549560503138289,0.16658845206585757,0.7745192326971124,0.42857142857142855,0.0,0.36190476190476195
unconstrained,4,0.841991351547146,0.2317867843634064,0.7822198718172617,0.42857142857142855,0.043478260869565216,0.5238095238095238
unconstrained,5,0.7857996985282859,0.2955161203805079,0.8013403791575155,0.21428571428571427,0.0,0.3047619047619048
